"item0",1436,162.19746319148487
"item1",3470,658.7670438342905
"item2",4365,249.0964186155199
"item3",8999,497.30856254499076
"item4",1700,472.19168991648905
"item5",3614,915.497102905816
"item6",1847,646.4917678386552
"item7",3654,911.7831793124683
"item8",9125,703.9373459164532
"item9",9612,869.8513658227099
"item10",9591,80.9180995520924
"item11",5884,976.1144438722542
"item12",9768,494.0646512731961
"item13",7044,832.7691702708986
"item14",9991,897.208902742332
"item15",1191,756.0084796748725
"item16",1399,745.6479277451326
"item17",2819,665.8805523276425
"item18",4497,837.0664883667623
"item19",3582,958.9094322889276
